epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,15,,,0.0625,2.3160400390625
0,1.8999999156221747e-05,15,2.30908203125,,,
1,,31,,,0.0625,2.220458984375
1,1.8999999156221747e-05,31,2.233245849609375,,,
2,,47,,,0.125,2.212646484375
2,1.8999999156221747e-05,47,2.216320037841797,,,
3,,49,,2.11871337890625,,
3,,63,,,0.125,2.201416015625
3,1.8999999156221747e-05,63,2.2113037109375,,,
4,,79,,,0.125,2.1619873046875
4,1.8999999156221747e-05,79,2.2123565673828125,,,
5,,95,,,0.125,2.1656494140625
5,1.8999999156221747e-05,95,2.1631126403808594,,,
6,,99,,2.39251708984375,,
6,,111,,,0.125,2.131103515625
6,1.8999999156221747e-05,111,2.1781654357910156,,,
7,,127,,,0.25,2.14019775390625
7,1.8999999156221747e-05,127,2.1758270263671875,,,
8,,143,,,0.25,2.12811279296875
8,1.8999999156221747e-05,143,2.15325927734375,,,
9,,149,,1.980224609375,,
9,,159,,,0.25,2.07366943359375
9,1.8999999156221747e-05,159,2.1332626342773438,,,
10,,175,,,0.25,2.03192138671875
10,1.7099999240599573e-05,175,2.1015777587890625,,,
11,,191,,,0.3125,2.0322265625
11,1.7099999240599573e-05,191,2.072702407836914,,,
12,,199,,2.055877685546875,,
12,,207,,,0.25,1.888427734375
12,1.7099999240599573e-05,207,2.0404624938964844,,,
13,,223,,,0.3125,1.89794921875
13,1.7099999240599573e-05,223,2.005277633666992,,,
14,,239,,,0.3125,1.8082275390625
14,1.7099999240599573e-05,239,1.9682559967041016,,,
15,,249,,1.8292236328125,,
15,,255,,,0.3125,1.76910400390625
15,1.7099999240599573e-05,255,1.9021248817443848,,,
16,,271,,,0.3125,1.7371826171875
16,1.7099999240599573e-05,271,1.8128881454467773,,,
17,,287,,,0.3125,1.68353271484375
17,1.7099999240599573e-05,287,1.779200553894043,,,
18,,299,,1.686920166015625,,
18,,303,,,0.3125,1.62677001953125
18,1.7099999240599573e-05,303,1.7673454284667969,,,
19,,319,,,0.375,1.61663818359375
19,1.7099999240599573e-05,319,1.7748041152954102,,,
20,,335,,,0.3125,1.6029052734375
20,1.5390000044135377e-05,335,1.6841917037963867,,,
21,,349,,1.5931549072265625,,
21,,351,,,0.375,1.520843505859375
21,1.5390000044135377e-05,351,1.6178722381591797,,,
22,,367,,,0.3125,1.5140380859375
22,1.5390000044135377e-05,367,1.566755771636963,,,
23,,383,,,0.375,1.4881591796875
23,1.5390000044135377e-05,383,1.570227861404419,,,
24,,399,,1.4054107666015625,,
24,,399,,,0.4375,1.4805908203125
24,1.5390000044135377e-05,399,1.5526065826416016,,,
25,,415,,,0.375,1.462066650390625
25,1.5390000044135377e-05,415,1.5537548065185547,,,
26,,431,,,0.4375,1.456298828125
26,1.5390000044135377e-05,431,1.4974207878112793,,,
27,,447,,,0.4375,1.42279052734375
27,1.5390000044135377e-05,447,1.5398216247558594,,,
28,,449,,1.405181884765625,,
28,,463,,,0.4375,1.432586669921875
28,1.5390000044135377e-05,463,1.467113971710205,,,
29,,479,,,0.4375,1.3868408203125
29,1.5390000044135377e-05,479,1.483879566192627,,,
30,,495,,,0.5,1.36749267578125
30,1.385100040351972e-05,495,1.4694643020629883,,,
31,,499,,1.2660675048828125,,
31,,511,,,0.5625,1.3570556640625
31,1.385100040351972e-05,511,1.4434218406677246,,,
32,,527,,,0.6875,1.318817138671875
32,1.385100040351972e-05,527,1.4644222259521484,,,
33,,543,,,0.5625,1.3341064453125
33,1.385100040351972e-05,543,1.4011850357055664,,,
34,,549,,1.4833984375,,
34,,559,,,0.5625,1.288177490234375
34,1.385100040351972e-05,559,1.370439052581787,,,
35,,575,,,0.75,1.2928466796875
35,1.385100040351972e-05,575,1.3943123817443848,,,
36,,591,,,0.6875,1.288421630859375
36,1.385100040351972e-05,591,1.3754239082336426,,,
37,,599,,1.5715408325195312,,
37,,607,,,0.6875,1.261688232421875
37,1.385100040351972e-05,607,1.3906240463256836,,,
38,,623,,,0.5625,1.24560546875
38,1.385100040351972e-05,623,1.376145362854004,,,
39,,639,,,0.5625,1.222198486328125
39,1.385100040351972e-05,639,1.3648993968963623,,,
40,,649,,1.6678466796875,,
40,,655,,,0.75,1.23223876953125
40,1.2465899999369867e-05,655,1.4124584197998047,,,
41,,671,,,0.75,1.2325439453125
41,1.2465899999369867e-05,671,1.3427236080169678,,,
42,,687,,,0.75,1.218963623046875
42,1.2465899999369867e-05,687,1.3211514949798584,,,
43,,699,,1.1970062255859375,,
43,,703,,,0.75,1.227203369140625
43,1.2465899999369867e-05,703,1.3645520210266113,,,
44,,719,,,0.75,1.18133544921875
