epoch,learning_rate,step,train_loss,val_acc,val_loss
0,,15,,0.1875,2.07568359375
0,9.999999747378752e-05,15,,,
1,,31,,0.1875,2.072998046875
1,9.999999747378752e-05,31,,,
2,,47,,0.125,2.0657958984375
2,9.999999747378752e-05,47,,,
3,,49,2.075927734375,,
3,,63,,0.0625,2.06683349609375
3,9.999999747378752e-05,63,,,
4,,79,,0.0625,2.0679931640625
4,9.999999747378752e-05,79,,,
5,,95,,0.125,2.06732177734375
5,9.999999747378752e-05,95,,,
6,,99,2.056640625,,
6,,111,,0.125,2.06671142578125
6,9.999999747378752e-05,111,,,
7,,127,,0.1875,2.06890869140625
7,9.999999747378752e-05,127,,,
