epoch,learning_rate,step,train_acc,train_batch_time_sec,train_epoch_time_sec,train_loss,val_acc,val_loss
0,,15,,,,,0.1875,2.302734375
0,1.8999999156221747e-05,15,0.1328125,,104.95903015136719,,,
1,,31,,,,,0.1875,2.18536376953125
1,1.8999999156221747e-05,31,0.109375,,28.903095245361328,,,
2,,47,,,,,0.3125,2.19805908203125
2,1.8999999156221747e-05,47,0.109375,,29.06600570678711,,,
3,,49,,0.9686503410339355,,2.21099853515625,,
3,,63,,,,,0.1875,2.07415771484375
3,1.8999999156221747e-05,63,0.11328125,,28.821565628051758,,,
4,,79,,,,,0.3125,2.171875
4,1.8999999156221747e-05,79,0.15234375,,28.92339515686035,,,
5,,95,,,,,0.25,2.139892578125
5,1.8999999156221747e-05,95,0.1484375,,28.903148651123047,,,
6,,99,,0.9730634689331055,,2.28326416015625,,
6,,111,,,,,0.125,2.1397705078125
6,1.8999999156221747e-05,111,0.10546875,,28.836286544799805,,,
7,,127,,,,,0.3125,2.08685302734375
7,1.8999999156221747e-05,127,0.13671875,,29.07435417175293,,,
8,,143,,,,,0.1875,2.0902099609375
8,1.8999999156221747e-05,143,0.125,,30.74839973449707,,,
9,,149,,1.000014066696167,,2.17767333984375,,
9,,159,,,,,0.25,2.0325927734375
9,1.8999999156221747e-05,159,0.1640625,,31.075838088989258,,,
10,,175,,,,,0.1875,2.03533935546875
10,1.7099999240599573e-05,175,0.140625,,30.49925994873047,,,
11,,191,,,,,0.4375,1.8829345703125
11,1.7099999240599573e-05,191,0.22265625,,31.01804542541504,,,
12,,199,,1.0111994743347168,,2.0419921875,,
12,,207,,,,,0.4375,1.82891845703125
12,1.7099999240599573e-05,207,0.1640625,,30.765289306640625,,,
13,,223,,,,,0.5,1.70635986328125
13,1.7099999240599573e-05,223,0.23046875,,30.464622497558594,,,
14,,239,,,,,0.5,1.677001953125
14,1.7099999240599573e-05,239,0.29296875,,31.157283782958984,,,
15,,249,,0.964348316192627,,1.884796142578125,,
15,,255,,,,,0.5625,1.60546875
15,1.7099999240599573e-05,255,0.30078125,,29.346302032470703,,,
16,,271,,,,,0.5,1.5450439453125
16,1.7099999240599573e-05,271,0.3671875,,30.739913940429688,,,
17,,287,,,,,0.5625,1.47406005859375
17,1.7099999240599573e-05,287,0.32421875,,29.1013240814209,,,
18,,299,,0.978081464767456,,1.6142578125,,
18,,303,,,,,0.625,1.4595947265625
18,1.7099999240599573e-05,303,0.36328125,,29.1153621673584,,,
19,,319,,,,,0.625,1.432220458984375
19,1.7099999240599573e-05,319,0.46484375,,28.75143814086914,,,
20,,335,,,,,0.75,1.403411865234375
20,1.5390000044135377e-05,335,0.4140625,,28.6830997467041,,,
21,,349,,0.9816093444824219,,1.4602203369140625,,
21,,351,,,,,0.625,1.4093017578125
21,1.5390000044135377e-05,351,0.41796875,,28.703533172607422,,,
22,,367,,,,,0.6875,1.35162353515625
22,1.5390000044135377e-05,367,0.41796875,,28.60028839111328,,,
23,,383,,,,,0.75,1.31732177734375
23,1.5390000044135377e-05,383,0.43359375,,28.652297973632812,,,
24,,399,,0.9624910354614258,,1.171966552734375,,
24,,399,,,,,0.6875,1.32659912109375
24,1.5390000044135377e-05,399,0.45703125,,28.75202178955078,,,
25,,415,,,,,0.625,1.378692626953125
25,1.5390000044135377e-05,415,0.421875,,28.784408569335938,,,
26,,431,,,,,0.8125,1.305084228515625
26,1.5390000044135377e-05,431,0.46875,,28.58283233642578,,,
27,,447,,,,,0.8125,1.29473876953125
27,1.5390000044135377e-05,447,0.5234375,,29.741426467895508,,,
28,,449,,0.9644637107849121,,1.5263671875,,
28,,463,,,,,0.8125,1.2462158203125
28,1.5390000044135377e-05,463,0.51171875,,28.725479125976562,,,
29,,479,,,,,0.6875,1.2554931640625
29,1.5390000044135377e-05,479,0.48046875,,28.540658950805664,,,
30,,495,,,,,0.8125,1.218353271484375
30,1.385100040351972e-05,495,0.48828125,,28.526817321777344,,,
31,,499,,0.9606149196624756,,1.692413330078125,,
31,,511,,,,,0.8125,1.21136474609375
31,1.385100040351972e-05,511,0.453125,,28.333049774169922,,,
32,,527,,,,,0.75,1.195526123046875
32,1.385100040351972e-05,527,0.50390625,,28.541006088256836,,,
33,,543,,,,,0.8125,1.174896240234375
33,1.385100040351972e-05,543,0.49609375,,28.33420181274414,,,
34,,549,,0.955014705657959,,1.3695144653320312,,
34,,559,,,,,0.75,1.16961669921875
34,1.385100040351972e-05,559,0.48828125,,28.506134033203125,,,
35,,575,,,,,0.8125,1.137603759765625
35,1.385100040351972e-05,575,0.51171875,,28.57962417602539,,,
36,,591,,,,,0.8125,1.164276123046875
36,1.385100040351972e-05,591,0.53125,,29.65920639038086,,,
37,,599,,0.9698185920715332,,1.5491790771484375,,
37,,607,,,,,0.8125,1.147064208984375
37,1.385100040351972e-05,607,0.46875,,29.56220245361328,,,
38,,623,,,,,0.8125,1.131561279296875
38,1.385100040351972e-05,623,0.52734375,,29.77478790283203,,,
39,,639,,,,,0.8125,1.11480712890625
39,1.385100040351972e-05,639,0.546875,,29.715587615966797,,,
40,,649,,0.963505744934082,,1.1613388061523438,,
40,,655,,,,,0.75,1.129730224609375
40,1.2465899999369867e-05,655,0.53515625,,29.907907485961914,,,
41,,671,,,,,0.8125,1.130889892578125
41,1.2465899999369867e-05,671,0.48046875,,29.834718704223633,,,
